questionnaire_id,L1,number_L1,L2_well,number_L2_well,L2_little,number_L2_little,language_mother,mother_english,language_father,father_english,languages_want_know_better,elementary_lang,elementary_lang_coded,hs_lang,hs_lang_coded,college_lang,family_lang,friends_lang,foreigners_lang,work_lang,school_lang,home_lang
20546,Pohnpeian,1,English,1,"Japanese,Mortlockese",2,Pohnpeian,0,Pohnpeian,0,German,"Pohnpeian,English",Bilingual,"English,Pohnpeian,Japanese",Bilingual,Pohnpeian,Pohnpeian,"Pohnpeian,English",English,"Pohnpeian,English","Pohnpeian,English","Pohnpeian,Meing"
36707,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,English,English,,Pohnpeian,Pohnpeian,English,English,English,"Pohnpeian,Meing"
59423,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,,None,,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
59711,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,,None,,Pohnpeian,Pohnpeian,"English,Pohnpeian",,Pohnpeian,Pohnpeian
24891,Pohnpeian,1,,0,,0,Kosraean,0,Pohnpeian,0,English,Pohnpeian,Non-English,"Pohnpeian,English",Bilingual,,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian
21606,Pohnpeian,1,Pingelapese,1,,0,"Pohnpeian,Pingelapese",0,"Pohnpeian,Mortlockese",0,English,"Pohnpeian,English",Bilingual,,None,,Pohnpeian,Pohnpeian,Pohnpeian,,Pohnpeian,Pohnpeian
20776,Pohnpeian,1,,0,Mwokilese,1,"Pohnpeian,English",1,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,English,Pohnpeian,"Pohnpeian,English",English,"Pohnpeian,English","Pohnpeian,English","Pohnpeian,Meing"
20986,Pohnpeian,1,,0,,0,,0,,0,,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,Pohnpeian,English,English,"Pohnpeian,English",Pohnpeian
58110,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,,Pohnpeian,Non-English,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,"Pohnpeian,Meing"
56521,Pohnpeian,1,English,1,English,1,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
17640,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,Chuukese,English,English,"Pohnpeian,English",Bilingual,,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
40110,Pohnpeian,1,"English,Pingelapese",2,,0,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,English,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
43115,Pohnpeian,1,Pingelapese,1,,0,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English ",Bilingual,,None,,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
40413,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,,None,,Pohnpeian,Pohnpeian,"Pohnpeian,English",Pohnpeian,Pohnpeian,Pohnpeian
33533,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,English,Pohnpeian,Non-English,English,English,,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
44174,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,English,Pohnpeian,Non-English,Pohnpeian ,Non-English,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian
17058,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,English,Pohnpeian,Non-English,"Pohnpeian,English",Bilingual,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,"Pohnpeian,English",Pohnpeian
18964,Pohnpeian,1,Mwokilese,1,,0,"Pohnpeian,Pingelapese",0,"Pohnpeian,Mortlockese",0,English,"Pohnpeian,English",Bilingual,English ,English,,Pohnpeian,Pohnpeian,English,,Pohnpeian,Pohnpeian
20725,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,English,Pohnpeian,Non-English,"English,Pohnpeian",Bilingual,English,Pohnpeian,Pohnpeian,English,Pohnpeian,"Pohnpeian,English",Pohnpeian
45632,Pohnpeian,1,,0,English,1,"Pohnpeian,Kosraean,Chuukese",0,Pohnpeian,0,,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
17055,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,English,Pohnpeian,Non-English,Pohnpeian ,Non-English,"Pohnpeian,English",Pohnpeian,Pohnpeian,"Pohnpeian,English",Pohnpeian,Pohnpeian,Pohnpeian
59093,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,English,,None,,None,,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
38967,Pohnpeian,1,Chuukese,1,English,1,Pohnpeian,0,"Pohnpeian,Chuukese",0,English,Pohnpeian,Non-English,"Pohnpeian,English",Bilingual,,Pohnpeian,Pohnpeian,English,,Pohnpeian,Pohnpeian
