college_lang,elementary_lang,family_lang,foreigners_lang,friends_lang,home_lang,hs_lang,school_lang,work_lang
Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,English
Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Japanese,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
Pohnpeian,Japanese,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English
Pohnpeian,English,Pohnpeian,English,English,Pohnpeian,English,Japanese,Pohnpeian
English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English
English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,English
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Mortlockese
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Mortlockese,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Mortlockese,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Mortlockese,English,Mortlockese,Mortlockese,Pohnpeian,Mortlockese,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian
